Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,2017-06-09 20:52:07,false,"Seattle Running","6.91","512","36:22","--","--","0.0","--","--","5:16","0:32","60","11","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-09 08:29:07,false,"Seattle Running","7.30","545","36:04","--","--","0.0","--","--","4:56","0:17","6","61","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-07 08:39:31,false,"Seattle Running","7.33","542","36:47","--","--","0.0","--","--","5:01","0:40","4","60","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-04 10:32:35,false,"Seattle Running","10.04","744","49:24","--","--","0.0","--","--","4:55","2:26","46","54","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-03 16:22:36,false,"Seattle Running","10.69","792","52:59","--","--","0.0","--","--","4:57","3:42","41","39","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-06-01 08:46:37,false,"Running","0.00","--","31:30","--","--","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-31 07:59:13,false,"Seattle Running","6.22","462","30:50","--","--","0.0","--","--","4:58","1:52","10","21","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-27 11:29:15,false,"Seattle Running","32.19","2,356","2:56:34","--","--","0.0","--","--","5:29","0:31","114","111","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-24 08:43:06,false,"Seattle Running","5.70","423","28:39","--","--","0.0","--","--","5:02","2:30","2","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-23 08:29:58,false,"Seattle Running","6.16","465","36:41","--","--","0.0","--","--","5:57","0:25","44","93","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-21 12:05:36,false,"Seattle Running","10.04","747","50:03","--","--","0.0","--","--","4:59","1:54","15","19","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-20 10:55:45,false,"Seattle Running","30.01","2,203","2:39:40","--","--","0.0","--","--","5:19","0:44","105","150","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
